,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Rating Action
134,507,9/1/2023,Lululemon Athletica,LULU,,Noah Zatzkin,Overweight,Overweight,450,450,No Change
135,156,9/1/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,450,450,No Change
136,644,9/20/2023,Lululemon Athletica,LULU,Raymond James,Rick Patel,Buy,Buy,470,470,No Change
137,157,9/21/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,450,450,No Change
138,157,9/21/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,450,450,No Change
139,502,11/7/2023,Lululemon Athletica,LULU,,Michael Binetti,Outperform,Outperform,475,475,No Change
140,704,11/17/2023,Lululemon Athletica,LULU,,Scot Ciccarelli,Buy,Buy,500,500,No Change
141,508,12/8/2023,Lululemon Athletica,LULU,,Noah Zatzkin,Overweight,Overweight,500,500,No Change
142,645,12/8/2023,Lululemon Athletica,LULU,Raymond James,Rick Patel,Buy,Buy,525,525,No Change
143,158,12/13/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,550,550,No Change
144,158,12/13/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,550,550,No Change
145,621,2/13/2024,Lululemon Athletica,LULU,Jefferies,Randal Konik,Underperform,Underperform,250,300,No Change
146,86,2/20/2024,Lululemon Athletica,LULU,Needham,Anna Andreeva,Buy,Buy,525,525,No Change
147,86,2/20/2024,Lululemon Athletica,LULU,Needham,Anna Andreeva,Buy,Buy,525,525,No Change
148,336,3/22/2024,Lululemon Athletica,LULU,Td Cowen,John Kernan,Outperform,Outperform,553,515,No Change
149,703,3/22/2024,Lululemon Athletica,LULU,Truist,Scot Ciccarelli,Buy,Buy,561,498,No Change
150,34,3/25/2024,Lululemon Athletica,LULU,Barclays,Adrienne Yih,Overweight,Overweight,546,546,No Change
151,34,3/25/2024,Lululemon Athletica,LULU,Barclays,Adrienne Yih,Overweight,Overweight,546,546,No Change
152,430,4/19/2024,Lululemon Athletica,LULU,Baird,Mark Altschwager,Outperform,Outperform,505,505,No Change
153,35,4/29/2024,Lululemon Athletica,LULU,Barclays,Adrienne Yih,Overweight,Equal Weight,395,395,No Change
154,35,4/29/2024,Lululemon Athletica,LULU,Barclays,Adrienne Yih,Overweight,Equal Weight,395,395,No Change
155,159,5/22/2024,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,550,550,No Change
156,159,5/22/2024,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,550,550,No Change
