Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Event Type
275,2024-07-08,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,900,900,No Change
776,2024-07-11,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,905,950,No Change
717,2024-07-11,Costco Wholesale,COST,Baird,Peter Benedict,Outperform,Outperform,975,975,No Change
198,2024-07-11,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,920,920,No Change
494,2024-07-11,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,950,950,No Change
178,2024-07-11,Costco Wholesale,COST,,George Kelly,Equal Weight,Equal Weight,800,800,No Change
579,2024-07-12,Costco Wholesale,COST,Td Cowen,Oliver Chen,Buy,Buy,925,925,No Change
276,2024-08-05,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,925,925,No Change
199,2024-08-07,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,915,915,No Change
785,2024-08-08,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,925,925,No Change
84,2024-08-08,Costco Wholesale,COST,Gordon Haskett,Charles Grom,Accumulate,Buy,925,925,No Change
295,2024-08-27,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,925,925,No Change
529,2024-09-06,Costco Wholesale,COST,D.A. Davidson,Michael Baker,Neutral,Neutral,780,780,No Change
296,2024-09-06,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,925,925,No Change
444,2024-09-06,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,975,975,No Change
495,2024-09-06,Costco Wholesale,COST,,Mark Astrachan,Buy,Buy,915,915,No Change
297,2024-09-27,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1000,1000,No Change
828,2024-09-27,Costco Wholesale,COST,Truist,Scot Ciccarelli,Hold,Hold,873,909,No Change
16,2024-09-27,Costco Wholesale,COST,,Bill Kirk,Neutral,Neutral,755,755,No Change
369,2024-09-27,Costco Wholesale,COST,,Kelly Bania,Outperform,Outperform,980,980,No Change
179,2024-09-27,Costco Wholesale,COST,,George Kelly,Equal Weight,Equal Weight,850,850,No Change
435,2024-09-27,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,975,1005,No Change
298,2024-10-03,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1000,1000,No Change
299,2024-10-10,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1000,1000,No Change
530,2024-10-10,Costco Wholesale,COST,D.A. Davidson,Michael Baker,Neutral,Neutral,880,880,No Change
300,2024-11-04,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1000,1000,No Change
370,2024-11-18,Costco Wholesale,COST,,Kelly Bania,Outperform,Outperform,1075,1075,No Change
301,2024-11-29,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1000,1000,No Change
302,2024-12-05,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1050,1050,No Change
483,2024-12-05,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,935,1000,No Change
136,2024-12-05,Costco Wholesale,COST,Jefferies,Corey Tarlowe,Buy,Buy,1145,1145,No Change
718,2024-12-05,Costco Wholesale,COST,Baird,Peter Benedict,Outperform,Outperform,1075,1075,No Change
527,2024-12-13,Costco Wholesale,COST,D.A. Davidson,Michael Baker,Neutral,Neutral,880,900,No Change
891,2024-12-13,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,950,1150,No Change
303,2024-12-13,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1050,1050,No Change
829,2024-12-13,Costco Wholesale,COST,Truist,Scot Ciccarelli,Hold,Hold,909,935,No Change
445,2024-12-13,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,1095,1095,No Change
598,2024-12-18,Costco Wholesale,COST,Citi,Paul Lejuez,Neutral,Neutral,1060,1060,No Change
304,2025-01-03,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
305,2025-01-08,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
277,2025-02-03,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
200,2025-02-06,Costco Wholesale,COST,Evercore,Greg Melich,Outperform,Outperform,1070,1070,No Change
437,2025-02-06,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,1095,1150,No Change
493,2025-02-06,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,1075,1075,No Change
132,2025-03-07,Costco Wholesale,COST,Jefferies,Corey Tarlowe,Buy,Buy,1145,1180,No Change
830,2025-03-07,Costco Wholesale,COST,Truist,Scot Ciccarelli,Hold,Hold,935,995,No Change
278,2025-03-07,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
433,2025-03-07,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,1150,1135,No Change
573,2025-03-07,Costco Wholesale,COST,Td Cowen,Oliver Chen,Buy,Buy,1090,1100,No Change
201,2025-03-11,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,1070,1070,No Change
279,2025-04-04,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
280,2025-04-10,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
281,2025-04-28,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
282,2025-05-05,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
202,2025-05-30,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,1075,1075,No Change
834,2025-05-30,Costco Wholesale,COST,,Scot Ciccarelli,Hold,Hold,1042,1042,No Change
446,2025-05-30,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,1110,1110,No Change
283,2025-05-30,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
438,2025-06-05,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,1110,1170,No Change
284,2025-06-05,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
203,2025-06-17,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,1060,1060,No Change
285,2025-07-03,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
286,2025-07-10,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
287,2025-08-04,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,1100,1100,No Change
117,2025-08-07,Costco Wholesale,COST,,Christopher Horvers,Overweight,Overweight,1160,1160,No Change
